source,published,title,link
investing,"18 Aug, 11:35","Kohl's posts smaller-than-expected loss, shares rise",https://www.investing.com/news/stock-market-news/kohls-posts-smallerthanexpected-loss-shares-rise-2269392
investing,"18 Aug, 11:31",Work-from-home boom is a bust for big office furniture makers,https://www.investing.com/news/stock-market-news/workfromhome-boom-is-a-bust-for-big-office-furniture-makers-2269390
investing,"18 Aug, 11:30",U.S. activists complain that virtual shareholder meetings let companies silence them,https://www.investing.com/news/stock-market-news/us-activists-complain-that-virtual-shareholder-meetings-let-companies-silence-them-2269389
investing,"18 Aug, 11:25",EV startup Canoo to go public with blank-check firm at $2.4 billion valuation,https://www.investing.com/news/stock-market-news/ev-startup-canoo-to-go-public-with-blankcheck-firm-at-24-billion-valuation-2269378
investing,"18 Aug, 11:14","Stocks - U.S. Futures Higher, Retail Giants Boost Confidence",https://www.investing.com/news/stock-market-news/stocks--us-futures-higher-retail-giants-boost-confidence-2269368
investing,"18 Aug, 11:10",Home Depot sales top estimates as consumers shop more DIY products,https://www.investing.com/news/stock-market-news/home-depot-beats-quarterly-samestore-sales-estimates-2269265
investing,"18 Aug, 11:01","Walmart Earnings, Revenue Beat in Q2",https://www.investing.com/news/stock-market-news/walmart-earnings-revenue-beat-in-q2-2269347
investing,"18 Aug, 11:00","Tencent-Backed Sea’s Sales Double in E-Commerce, Gaming Boom",https://www.investing.com/news/stock-market-news/tencentbacked-seas-sales-double-in-ecommerce-gaming-boom-2269341
investing,"18 Aug, 11:00","Wall Street futures rise as Home Depot results shine, Walmart on deck",https://www.investing.com/news/stock-market-news/wall-street-futures-rise-as-home-depot-results-shine-walmart-on-deck-2269340
bbc,"18 Aug, 11:18",Selfridges to offer clothing rental in environmental push,https://www.bbc.co.uk/news/business-53805033
bbc,"18 Aug, 10:31","M&S to cut 7,000 jobs over next three months",https://www.bbc.co.uk/news/business-53817598
bbc,"18 Aug, 10:26",Auctioneers see surge in Covid-19 bankruptcy sales,https://www.bbc.co.uk/news/business-53741321
bbc,"18 Aug, 08:36",Former Chancellor Javid returns to JP Morgan,https://www.bbc.co.uk/news/business-53817905
bbc,"18 Aug, 04:44",Citibank sues for $176m payment made in error,https://www.bbc.co.uk/news/business-53802994
bbc,"18 Aug, 04:04",Trump dangles cash for US firms moving from China,https://www.bbc.co.uk/news/business-53816277
bbc,"17 Aug, 23:00",Thousands of migrants denied help in the pandemic,https://www.bbc.co.uk/news/business-53780303
bbc,"17 Aug, 19:02",Ryan Reynolds-backed gin bought in $610m deal,https://www.bbc.co.uk/news/business-53810737
bbc,"17 Aug, 16:58",McDonald's ex-boss fights sexual liaison claims,https://www.bbc.co.uk/news/business-53810736
bbc,"17 Aug, 15:28",Ryanair cuts flights as EU virus rates hit bookings,https://www.bbc.co.uk/news/business-53787437
bbc,"17 Aug, 15:15",Huawei: US tightens restrictions on Chinese giant,https://www.bbc.co.uk/news/business-53805038
bbc,"17 Aug, 14:28",Morrisons considers ditching all 'bags for life' for paper,https://www.bbc.co.uk/news/business-53804248
bbc,"17 Aug, 09:51",Coronavirus: Claims open for second self-employed support grant,https://www.bbc.co.uk/news/business-53783797
bbc,"17 Aug, 03:08",Coronavirus: Japan suffers its biggest economic slump on record,https://www.bbc.co.uk/news/business-53802967
bbc,"16 Aug, 23:02",China and trade: Breaking up is hard to do,https://www.bbc.co.uk/news/business-53797377
bbc,"16 Aug, 23:01",Turkey Twizzlers set for healthier comeback,https://www.bbc.co.uk/news/business-53799774
bbc,"16 Aug, 23:00",The two students who took on Coke and Pepsi,https://www.bbc.co.uk/news/business-53593138
bbc,"16 Aug, 19:38",MSC Grandiosa: First Mediterranean cruise launches after five-month pause,https://www.bbc.co.uk/news/world-europe-53802045
bbc,"16 Aug, 18:54",'People are hungry for new music after lockdown',https://www.bbc.co.uk/news/business-53669387
bbc,"16 Aug, 09:46",Debenhams hires liquidator in contingency plan,https://www.bbc.co.uk/news/business-53797371
